City,Province,Ycase,Scase,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,TotalTransportCost_mUSD
Handan,Hebei,Y2050,S3,48.95275281,35.66908963,3.52E-13,22.66427961,0,16.79477911,0.917395197,4.89E-05,29.78393724,11.49541328,32.65077856,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Jinan ,Shandong ,YCurrent,S1,132.814105,184.8406094,0,92.13101844,0,33.58955823,1.372880442,7.39E-05,29.45476087,11.3293135,95.34055775,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Jinan ,Shandong ,YCurrent,S2,95.24927579,132.7377756,0,66.09937457,0,25.19216867,1.14513782,5.94E-05,29.4658501,11.33490904,70.93111778,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Jinan ,Shandong ,YCurrent,S3,60.75295481,84.94365171,1.69E-12,42.20199697,0,16.79477911,0.917395197,3.85E-05,29.48645627,11.34530675,48.39219142,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Jinan ,Shandong ,Y2030,S1,126.3352558,134.257858,0,63.63477644,0,33.58955823,1.372880442,7.46E-05,29.51538548,11.3599042,78.55807896,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Jinan ,Shandong ,Y2030,S2,90.62012577,96.43037337,2.02E-12,45.64416638,0,25.19216867,1.14513782,5.34E-05,29.52707466,11.36580247,58.89413809,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Jinan ,Shandong ,Y2030,S3,57.16672493,62.63255162,0,28.89181613,0,16.79477911,0.917395197,3.93E-05,29.54590854,11.37530589,40.71085411,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Jinan ,Shandong ,Y2040,S1,130.3552972,90.88866444,0,60.28274107,0,33.58955823,1.372880442,8.12E-05,29.61590164,11.41062386,70.2028463,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Jinan ,Shandong ,Y2040,S2,93.11147801,65.82650758,0,43.12063442,0,25.19216867,1.14513782,5.88E-05,29.62680412,11.41612516,52.90781962,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Jinan ,Shandong ,Y2040,S3,58.606364,43.19323835,-1.33E-12,27.33005392,0,16.79477911,0.917395197,4.74E-05,29.64659168,11.42610981,36.89946083,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Jinan ,Shandong ,Y2050,S1,141.9950488,24.52739085,0,63.21266535,0,33.58955823,1.372880442,0.000140551,30.30818502,11.75994455,60.23743959,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Jinan ,Shandong ,Y2050,S2,99.94582357,20.49023497,2.48E-12,44.61485312,0,25.19216867,1.14513782,9.42E-05,30.21773426,11.71430381,45.81547186,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Jinan ,Shandong ,Y2050,S3,61.84182676,16.01016436,-8.54E-12,27.80175665,0,16.79477911,0.917395197,6.09E-05,30.12667499,11.66835603,32.43150363,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
